individual,pilo,saliva,cytokine,LPS,optic density,measure
1973,N,0,IL10,Without LPS,0.092,0.099366967
1973,Y,0,IL10,Without LPS,0.079,0.074429311
1973,N,31.25,IL10,Without LPS,0.13,0.172261654
1973,N,62.5,IL10,Without LPS,0.138,0.187607903
1973,N,125,IL10,Without LPS,0.193,0.29311337
1973,N,250,IL10,Without LPS,0.16,0.22981009
1973,N,0,IL10,With LPS,0.455,0.79570305
1973,Y,0,IL10,With LPS,0.258,0.41780165
1973,N,31.25,IL10,With LPS,0.567,1.010550547
1973,N,62.5,IL10,With LPS,0.618,1.108382889
1973,N,125,IL10,With LPS,0.67,1.208133512
1973,N,250,IL10,With LPS,0.599,1.071935546
9567,N,0,IL10,Without LPS,0.079,0.074429311
9567,Y,0,IL10,Without LPS,0.085,0.085938999
9567,N,31.25,IL10,Without LPS,0.103,0.120468061
9567,N,62.5,IL10,Without LPS,0.108,0.130059467
9567,N,125,IL10,Without LPS,0.121,0.154997123
9567,N,250,IL10,Without LPS,0.074,0.064837905
9567,N,0,IL10,With LPS,0.622,1.116056014
9567,Y,0,IL10,With LPS,0.073,0.062919624
9567,N,31.25,IL10,With LPS,0.627,1.12564742
9567,N,62.5,IL10,With LPS,0.641,1.152503357
9567,N,125,IL10,With LPS,0.683,1.233071168
9567,N,250,IL10,With LPS,0.807,1.47093804
9906,N,0,IL10,Without LPS,0.101,0.116631498
9906,Y,0,IL10,Without LPS,0.09,0.095530405
9906,N,31.25,IL10,Without LPS,0.113,0.139650873
9906,N,62.5,IL10,Without LPS,0.129,0.170343372
9906,N,125,IL10,Without LPS,0.133,0.178016497
9906,N,250,IL10,Without LPS,0.157,0.224055246
9906,N,0,IL10,With LPS,0.636,1.142911951
9906,Y,0,IL10,With LPS,0.64,1.150585076
9906,N,31.25,IL10,With LPS,0.542,0.962593516
9906,N,62.5,IL10,With LPS,0.578,1.03165164
9906,N,125,IL10,With LPS,0.619,1.11030117
9906,N,250,IL10,With LPS,0.667,1.202378669
1973,N,0,IL12,Without LPS,0.072,0.520491803
1973,Y,0,IL12,Without LPS,0.071,0.479508197
1973,N,31.25,IL12,Without LPS,0.083,0.971311475
1973,N,62.5,IL12,Without LPS,0.076,0.68442623
1973,N,125,IL12,Without LPS,0.069,0.397540984
1973,N,250,IL12,Without LPS,0.065,0.233606557
1973,N,0,IL12,With LPS,0.21,6.176229508
1973,Y,0,IL12,With LPS,0.197,5.643442623
1973,N,31.25,IL12,With LPS,0.082,0.930327869
1973,N,62.5,IL12,With LPS,0.077,0.725409836
1973,N,125,IL12,With LPS,0.078,0.766393443
1973,N,250,IL12,With LPS,0.073,0.56147541
9567,N,0,IL12,Without LPS,0.065,0.233606557
9567,Y,0,IL12,Without LPS,0.069,0.397540984
9567,N,31.25,IL12,Without LPS,0.073,0.56147541
9567,N,62.5,IL12,Without LPS,0.065,0.233606557
9567,N,125,IL12,Without LPS,0.062,0.110655738
9567,N,250,IL12,Without LPS,0.059,-0.012295082
9567,N,0,IL12,With LPS,0.353,12.03688525
9567,Y,0,IL12,With LPS,0.058,-0.053278689
9567,N,31.25,IL12,With LPS,0.102,1.75
9567,N,62.5,IL12,With LPS,0.082,0.930327869
9567,N,125,IL12,With LPS,0.077,0.725409836
9567,N,250,IL12,With LPS,0.084,1.012295082
9906,N,0,IL12,Without LPS,0.084,1.012295082
9906,Y,0,IL12,Without LPS,0.078,0.766393443
9906,N,31.25,IL12,Without LPS,0.087,1.135245902
9906,N,62.5,IL12,Without LPS,0.088,1.176229508
9906,N,125,IL12,Without LPS,0.081,0.889344262
9906,N,250,IL12,Without LPS,0.079,0.807377049
9906,N,0,IL12,With LPS,0.215,6.381147541
9906,Y,0,IL12,With LPS,0.18,4.946721311
9906,N,31.25,IL12,With LPS,0.087,1.135245902
9906,N,62.5,IL12,With LPS,0.078,0.766393443
9906,N,125,IL12,With LPS,0.08,0.848360656
9906,N,250,IL12,With LPS,0.106,1.913934426
1973,N,0,TNF-A,Without LPS,0.073,0.724075744
1973,Y,0,TNF-A,Without LPS,0.071,0.706041479
1973,N,31.25,TNF-A,Without LPS,0.071,0.706041479
1973,N,62.5,TNF-A,Without LPS,0.073,0.724075744
1973,N,125,TNF-A,Without LPS,0.069,0.688007214
1973,N,250,TNF-A,Without LPS,0.064,0.642921551
1973,N,0,TNF-A,With LPS,0.266,2.464382326
1973,Y,0,TNF-A,With LPS,0.138,1.31018936
1973,N,31.25,TNF-A,With LPS,0.236,2.19386835
1973,N,62.5,TNF-A,With LPS,0.242,2.247971145
1973,N,125,TNF-A,With LPS,0.248,2.30207394
1973,N,250,TNF-A,With LPS,0.203,1.896302976
9567,N,0,TNF-A,Without LPS,0.072,0.715058611
9567,Y,0,TNF-A,Without LPS,0.065,0.651938683
9567,N,31.25,TNF-A,Without LPS,0.064,0.642921551
9567,N,62.5,TNF-A,Without LPS,0.064,0.642921551
9567,N,125,TNF-A,Without LPS,0.062,0.624887286
9567,N,250,TNF-A,Without LPS,0.056,0.570784491
9567,N,0,TNF-A,With LPS,0.353,3.248872858
9567,Y,0,TNF-A,With LPS,0.057,0.579801623
9567,N,31.25,TNF-A,With LPS,0.158,1.490532011
9567,N,62.5,TNF-A,With LPS,0.12,1.147880974
9567,N,125,TNF-A,With LPS,0.115,1.102795311
9567,N,250,TNF-A,With LPS,0.121,1.156898106
9906,N,0,TNF-A,Without LPS,0.085,0.832281335
9906,Y,0,TNF-A,Without LPS,0.078,0.769161407
9906,N,31.25,TNF-A,Without LPS,0.084,0.823264202
9906,N,62.5,TNF-A,Without LPS,0.091,0.88638413
9906,N,125,TNF-A,Without LPS,0.081,0.796212804
9906,N,250,TNF-A,Without LPS,0.073,0.724075744
9906,N,0,TNF-A,With LPS,0.225,2.094679892
9906,Y,0,TNF-A,With LPS,0.232,2.15779982
9906,N,31.25,TNF-A,With LPS,0.127,1.211000902
9906,N,62.5,TNF-A,With LPS,0.128,1.220018034
9906,N,125,TNF-A,With LPS,0.13,1.238052299
9906,N,250,TNF-A,With LPS,0.129,1.229035167
